Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
!K7088LP,A Guy Called Gerald,Essence,!K7 Records,"2xLP, Album, Gat",,2000,23143,DnB,2009-11-20 19:36:30,Mint (M),Mint (M),
1210 003,Drum Kru,Thin Air / Poltergeist,1210 Recordings,"12""",,2001,5249,DnB,2022-04-03 05:24:17,,,
31R - 005,Optical,Bounce / The End Part I,31 Records,"12""",,1998,1125,DnB,2023-07-28 12:46:57,,,
31R - 009,Marcus Intalex & ST Files,How You Make Me Feel / Neptune,31 Records,"12""",,1999,1129,DnB,2021-06-21 02:59:24,,,
31R - 011,Total Science,Get It On / Altered State,31 Records,"12""",,2000,1766,DnB,2010-05-09 16:00:04,,,
31R - 012,Digital,Deadline / Fix Up,31 Records,"12""",,2000,1767,DnB,2010-05-09 16:00:15,,,
31R - 013,Nasty Habits,Liquid Fingers (Goldie Remix) / Deep Beats,31 Records,"12""",,2001,5142,DnB,2010-05-09 16:00:30,,,
31R - 014,Marcus Intalex & ST Files,Love & Hapiness / Dreamworld,31 Records,"12""",,2001,3591,DnB,2021-06-21 02:59:42,,,
31R - 015,Klute,Dawn Of Reason / Song Seller,31 Records,"12""",,2001,8002,DnB,2023-01-09 05:42:04,,,
31R017,Various,Kingz Of The Rollers EP Volume One,31 Records,"2x12"", EP",,2003,103167,DnB,2022-04-03 05:43:32,,,
31R018,Various,Kingz Of The Rollers EP Volume Two,31 Records,"2x12"", EP",,2003,129640,DnB,2023-05-06 12:36:50,,,
31R019,Various,Kingz Of The Rollers EP Volume Three,31 Records,"2x12"", EP",,2003,157158,DnB,2021-06-05 04:29:53,,,
31R021PT2,DJ Friction / DJ Kontrol,Kingz Of The Rollers EP 'The Mix CD' Sampler 2,31 Records,"12"", Smplr",,2004,234916,DnB,2022-04-03 05:44:55,,,
RIFTEK1201UK,Photek Presents Choc Ty,We Got Heat (Remixes),51st State,"12""",,2003,204002,DnB,2022-04-05 13:22:42,,,
"HQ 024, HQ024",Various,The Shopfloor (Part 3),"5HQ Recordings, 5HQ Recordings","2x12"", EP",,2000,249809,DnB,2009-11-20 20:37:03,Mint (M),Very Good Plus (VG+),
AND 03,C. Kent & Esta (3),Tomorrow / Bogroll,A New Dawn Recordings,"12""",,2001,11050,DnB,2022-04-04 07:34:01,,,
"A-KO 005, AKOR005",DJ Stretch,Hungry Tiger (Remixes),"A-KO Recordings, A-Ko Recordings","12"", Promo, W/Lbl",,1997,3415854,DnB,2022-04-05 23:55:46,,,
GENLIQ002,Fabio,Generation Liquid Volume 2,Above Board Projects,"2x12"", Comp",,2023,28710649,DnB,2024-04-30 09:52:19,,,
ACC 001,Baron,Long Shot,Access,"12"", Promo, W/Lbl",,2002,2005662,DnB,2010-05-09 15:59:31,,,
12HOCK 01,Optical Vs Matrix,Data Life / Crossfire,Ad Hoc Recordings,"12"", Promo, W/Lbl",,1998,1151436,DnB,2009-11-20 19:47:59,Mint (M),Generic,
ADVR005,Total Science,Taxman / Gravy Girls,Advance//d Recordings,"12""",,2001,12842,DnB,2022-04-03 05:48:59,,,
ADVR006,DJ Friction,Light Speed E.P,Advance//d Recordings,"2x12"", EP",,2003,149495,DnB,2009-11-20 20:10:47,Mint (M),Good (G),
ADVRSK1,Various,Sektor One,Advance//d Recordings,"2x12"", EP",,2002,21270,DnB,2022-04-03 05:48:18,,,
ADVRSK5,Various,Sektor Five,Advance//d Recordings,"2x12"", EP",,2003,180115,DnB,2022-04-03 05:48:33,,,
ADVRSQ,Total Science,Squash Remixes,Advance//d Recordings,"12""",,2003,89518,DnB,2022-04-03 05:47:41,,,
APH044,Aphrodite,Fanfare / Karma Sutra,Aphrodite Recordings,"12"", W/Lbl, Sta",,2004,3745286,DnB,2022-04-05 13:26:40,,,
ARX016-1,Fifth Element,Stone Cold Part 1,Architecture,"12""",,2004,253100,DnB,2010-04-08 18:56:06,,,
ARX016-2,Fifth Element,Stone Cold Part 2,Architecture,"12""",,2004,284247,DnB,2010-04-08 18:56:28,,,
ARM 002,DJ Daze,Armageddon Vol. 2,Armageddon (2),"12""",,2000,33930,DnB,2010-04-08 19:15:16,,,
ASP006,Pressure Rise,Stranger,Aspect,"12""",,1999,20448,DnB,2009-11-20 19:49:29,Mint (M),Good (G),
ASP009,State Of Play,Searchin,Aspect,"12""",,2000,28930,DnB,2009-11-20 19:48:34,Very Good Plus (VG+),Good (G),
